year,zone,temperature
2006,NHem,.78
2007,NHem,.81
2008,NHem,.64
2009,NHem,.70
2010,NHem,.87
2011,NHem,.70
2012,NHem,.77
2013,NHem,.75
2014,NHem,.90
2015,NHem,1.13
2016,NHem,1.27
2017,NHem,1.12
1880,SHem,-.04
1881,SHem,.00
1882,SHem,.01
1883,SHem,-.05
1884,SHem,-.14
1885,SHem,-.22
1886,SHem,-.22
1887,SHem,-.28
1888,SHem,-.13
1889,SHem,-.05
1890,SHem,-.32
1891,SHem,-.20
1892,SHem,-.16
1893,SHem,-.18
1894,SHem,-.23
1895,SHem,-.16
1896,SHem,-.02
1897,SHem,-.06
1898,SHem,-.27
1899,SHem,-.16
1900,SHem,-.09
1901,SHem,-.20
1902,SHem,-.25
1903,SHem,-.39
1904,SHem,-.49
1905,SHem,-.25
1906,SHem,-.22
1907,SHem,-.32
1908,SHem,-.41
1909,SHem,-.48
1910,SHem,-.42
1911,SHem,-.46
1912,SHem,-.25
1913,SHem,-.26
1914,SHem,-.11
1915,SHem,-.13
1916,SHem,-.30
1917,SHem,-.35
1918,SHem,-.20
1919,SHem,-.19
1920,SHem,-.24
1921,SHem,-.27
1922,SHem,-.29
1923,SHem,-.29
1924,SHem,-.34
1925,SHem,-.29
1926,SHem,-.19
1927,SHem,-.28
1928,SHem,-.29
1929,SHem,-.37
1930,SHem,-.29
1931,SHem,-.22
1932,SHem,-.27
1933,SHem,-.32
1934,SHem,-.26
1935,SHem,-.31
1936,SHem,-.28
1937,SHem,-.19
1938,SHem,-.20
1939,SHem,-.15
1940,SHem,.08
1941,SHem,.16
1942,SHem,.01
1943,SHem,-.01
1944,SHem,.16
1945,SHem,.09
1946,SHem,-.17
1947,SHem,-.14
1948,SHem,-.20
1949,SHem,-.18
1950,SHem,-.20
1951,SHem,-.17
1952,SHem,-.03
1953,SHem,-.08
1954,SHem,-.25
1955,SHem,-.20
1956,SHem,-.16
1957,SHem,.05
1958,SHem,-.03
1959,SHem,-.06
1960,SHem,-.12
1961,SHem,.03
1962,SHem,-.08
1963,SHem,-.02
1964,SHem,-.20
1965,SHem,-.08
1966,SHem,-.09
1967,SHem,-.07
1968,SHem,-.09
1969,SHem,.16
1970,SHem,.10
1971,SHem,-.03
1972,SHem,.22
1973,SHem,.22
1974,SHem,.03
1975,SHem,.02
1976,SHem,.00
1977,SHem,.23
1978,SHem,.11
1979,SHem,.24
1980,SHem,.38
1981,SHem,.27
1982,SHem,.22
1983,SHem,.37
1984,SHem,.28
1985,SHem,.24
1986,SHem,.24
1987,SHem,.41
1988,SHem,.44
1989,SHem,.29
1990,SHem,.37
1991,SHem,.41
1992,SHem,.32
1993,SHem,.29
1994,SHem,.25
1995,SHem,.31
1996,SHem,.39
1997,SHem,.41
1998,SHem,.52
1999,SHem,.29
2000,SHem,.30
2001,SHem,.43
2002,SHem,.54
2003,SHem,.49
2004,SHem,.40
2005,SHem,.51
2006,SHem,.45
2007,SHem,.46
2008,SHem,.38
2009,SHem,.57
2010,SHem,.53
2011,SHem,.45
2012,SHem,.47
2013,SHem,.54
2014,SHem,.56
2015,SHem,.61
2016,SHem,.71
2017,SHem,.68
