year,month,temperature
2004,Jun,.43
2005,Jun,.66
2006,Jun,.64
2007,Jun,.59
2008,Jun,.45
2009,Jun,.65
2010,Jun,.62
2011,Jun,.57
2012,Jun,.63
2013,Jun,.66
2014,Jun,.67
2015,Jun,.79
2016,Jun,.77
2017,Jun,.71
2018,Jun,.75
1880,Sep,-.15
1881,Sep,-.13
1882,Sep,-.10
1883,Sep,-.20
1884,Sep,-.27
1885,Sep,-.23
1886,Sep,-.25
1887,Sep,-.22
1888,Sep,-.09
1889,Sep,-.21
1890,Sep,-.39
1891,Sep,-.13
1892,Sep,-.12
1893,Sep,-.20
1894,Sep,-.24
1895,Sep,-.08
1896,Sep,-.03
1897,Sep,-.07
1898,Sep,-.21
1899,Sep,-.02
1900,Sep,-.04
1901,Sep,-.22
1902,Sep,-.29
1903,Sep,-.48
1904,Sep,-.52
1905,Sep,-.18
1906,Sep,-.27
1907,Sep,-.33
1908,Sep,-.35
1909,Sep,-.35
1910,Sep,-.36
1911,Sep,-.37
1912,Sep,-.51
1913,Sep,-.35
1914,Sep,-.13
1915,Sep,-.16
1916,Sep,-.31
1917,Sep,-.17
1918,Sep,-.14
1919,Sep,-.21
1920,Sep,-.18
1921,Sep,-.16
1922,Sep,-.31
1923,Sep,-.27
1924,Sep,-.30
1925,Sep,-.15
1926,Sep,-.12
1927,Sep,-.10
1928,Sep,-.18
1929,Sep,-.22
1930,Sep,-.12
1931,Sep,-.06
1932,Sep,-.11
1933,Sep,-.27
1934,Sep,-.16
1935,Sep,-.21
1936,Sep,-.10
1937,Sep,.11
1938,Sep,.02
1939,Sep,-.07
1940,Sep,.13
1941,Sep,.02
1942,Sep,-.05
1943,Sep,.06
1944,Sep,.29
1945,Sep,.22
1946,Sep,-.07
1947,Sep,-.13
1948,Sep,-.11
1949,Sep,-.14
1950,Sep,-.12
1951,Sep,.09
1952,Sep,.07
1953,Sep,.04
1954,Sep,-.10
1955,Sep,-.11
1956,Sep,-.20
1957,Sep,.09
1958,Sep,-.02
1959,Sep,-.06
1960,Sep,.07
1961,Sep,.07
1962,Sep,.01
1963,Sep,.20
1964,Sep,-.29
1965,Sep,-.16
1966,Sep,-.02
1967,Sep,-.06
1968,Sep,-.18
1969,Sep,.09
1970,Sep,.11
1971,Sep,-.04
1972,Sep,.02
1973,Sep,.10
1974,Sep,-.11
1975,Sep,-.03
1976,Sep,-.09
1977,Sep,.00
1978,Sep,.05
1979,Sep,.25
1980,Sep,.19
1981,Sep,.17
1982,Sep,.14
1983,Sep,.39
1984,Sep,.21
1985,Sep,.15
1986,Sep,.00
1987,Sep,.39
1988,Sep,.41
1989,Sep,.37
1990,Sep,.29
1991,Sep,.48
1992,Sep,.00
1993,Sep,.10
1994,Sep,.29
1995,Sep,.33
1996,Sep,.25
1997,Sep,.53
1998,Sep,.41
1999,Sep,.41
2000,Sep,.41
2001,Sep,.54
2002,Sep,.63
2003,Sep,.65
2004,Sep,.50
2005,Sep,.75
2006,Sep,.62
2007,Sep,.60
2008,Sep,.63
2009,Sep,.67
2010,Sep,.59
2011,Sep,.53
2012,Sep,.72
2013,Sep,.77
2014,Sep,.88
2015,Sep,.82
2016,Sep,.88
2017,Sep,.76
2018,Sep,0
1880,Dec,-.22
1881,Dec,-.11
1882,Dec,-.24
1883,Dec,-.16
1884,Dec,-.28
1885,Dec,-.05
1886,Dec,-.26
1887,Dec,-.33
1888,Dec,-.06
1889,Dec,-.29
1890,Dec,-.31
